drift description,tree size,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,STAT_BARINEL faulty nodes indicies,STAT_BARINEL faulty features,STAT_BARINEL wasted effort,STAT_BARINEL fix accuracy,STAT_BARINEL fix accuracy increase
oocytes_trisopterus_states_5b__NumericFeature[f9;-2std],17,42.85714285714286,77.47252747252747,29.67032967032967,85.16483516483517,37.36263736263736,"2, 3, 8","[, N, o, n, e, ,,  , ', f, 9, ', ,,  , N, o, n, e, ]",1,82.96703296703298,35.16483516483517
oocytes_trisopterus_states_5b__NumericFeature[f9;-1std],17,38.46153846153847,76.92307692307693,24.17582417582418,85.16483516483517,32.417582417582416,"2, 3, 8, 11","[, N, o, n, e, ,,  , ', f, 9, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ]",1,84.06593406593407,31.318681318681318
oocytes_trisopterus_states_5b__NumericFeature[f9;-0.5std],17,15.384615384615385,76.92307692307693,-1.6483516483516425,86.26373626373626,7.692307692307699,"2, 9, 8, 11, 15, 16","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",1,83.51648351648352,4.94505494505495
oocytes_trisopterus_states_5b__NumericFeature[f27;+0.5std],17,20.879120879120883,76.92307692307693,13.186813186813195,89.56043956043956,25.824175824175832,"2, 6, 13, 8, 15, 16","[, N, o, n, e, ,,  , ', f, 2, 7, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",1,82.96703296703298,19.23076923076924
oocytes_trisopterus_states_5b__NumericFeature[f27;+1std],17,37.362637362637365,76.92307692307693,26.923076923076927,89.56043956043956,39.56043956043956,"2, 13, 8, 12, 15, 16","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",3,81.31868131868131,31.318681318681318
oocytes_trisopterus_states_5b__NumericFeature[f27;+2std],17,40.65934065934066,76.92307692307693,26.37362637362638,89.56043956043956,39.010989010989015,"2, 6, 13, 8, 15, 16","[, N, o, n, e, ,,  , ', f, 2, 7, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",1,76.92307692307693,26.37362637362638
parkinsons__NumericFeature[f22;-2std],3,21.052631578947366,84.61538461538461,41.02564102564102,87.17948717948718,43.58974358974359,0,"[, ', f, 2, 2, ', ]",0,87.17948717948718,43.58974358974359
parkinsons__NumericFeature[f22;+1std],3,31.578947368421055,87.17948717948718,10.256410256410254,87.17948717948718,10.256410256410254,2,"[, N, o, n, e, ]",0,76.92307692307693,0.0
parkinsons__NumericFeature[f22;+2std],3,31.578947368421055,87.17948717948718,10.256410256410254,87.17948717948718,10.256410256410254,2,"[, N, o, n, e, ]",0,76.92307692307693,0.0
pittsburg-bridges-MATERIAL__NumericFeature[f3;-2std],5,60.0,76.19047619047619,42.857142857142854,47.61904761904761,14.285714285714285,1,"[, N, o, n, e, ]",0,80.95238095238095,47.61904761904762
pittsburg-bridges-MATERIAL__NumericFeature[f4;-2std],5,70.0,76.19047619047619,19.047619047619047,76.19047619047619,19.047619047619047,"1, 3","[, N, o, n, e, ,,  , N, o, n, e, ]",1,90.47619047619048,33.333333333333336
pittsburg-bridges-MATERIAL__NumericFeature[f4;-1std],5,40.0,76.19047619047619,19.047619047619047,71.42857142857143,14.28571428571429,"1, 3","[, N, o, n, e, ,,  , N, o, n, e, ]",1,90.47619047619048,33.333333333333336
prnn_synth__NumericFeature[ys;-2std],13,32.00000000000001,84.0,34.0,66.0,16.000000000000004,"5, 9, 15","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",0,48.0,-2.0000000000000018
prnn_synth__NumericFeature[xs;-2std],13,24.0,82.0,19.999999999999996,84.0,21.999999999999996,"6, 3","[, ', x, s, ', ,,  , N, o, n, e, ]",0,78.0,16.000000000000004
prnn_synth__NumericFeature[xs;-1std],13,20.000000000000007,80.0,14.000000000000002,84.0,17.999999999999993,2,"[, ', x, s, ', ]",0,86.0,19.999999999999996
rabe_131__NumericFeature[col_1;-2std],3,80.0,60.0,19.999999999999996,40.0,0.0,1,"[, N, o, n, e, ]",0,60.0,19.999999999999996
