drift description,tree size,after accuracy decrease precentage,faulty node index,faulty feature,fix accuracy increase precentage
audiology-std__NumericFeature[f7;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f7;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f7;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f7;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f7;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f7;+2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f33;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f33;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f33;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f33;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f33;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f33;+2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f15;-2std],43,5.263157894736836,13,f57,0.0
audiology-std__NumericFeature[f15;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f15;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f15;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f15;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f15;+2std],43,47.368421052631575,0,f1,0.0
audiology-std__NumericFeature[f3;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f3;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f3;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f3;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f3;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f3;+2std],43,15.78947368421052,1,f15,0.0
audiology-std__NumericFeature[f1;-2std],43,15.78947368421052,0,f1,41.02564102564102
audiology-std__NumericFeature[f1;-1std],43,15.78947368421052,0,f1,12.82051282051282
audiology-std__NumericFeature[f1;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f1;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f1;+1std],43,47.368421052631575,0,f1,38.46153846153846
audiology-std__NumericFeature[f1;+2std],43,52.63157894736842,0,f1,38.46153846153846
bank__NumericFeature[f12;-2std],7,-0.22123893805310324,5,f12,1.4380530973451267
bank__NumericFeature[f12;-1std],7,-0.22123893805310324,8,,-0.6637168141592875
bank__NumericFeature[f12;-0.5std],7,-0.22123893805310324,8,,-0.8849557522123908
bank__NumericFeature[f12;+0.5std],7,1.9911504424778736,8,,1.8805309734513331
bank__NumericFeature[f12;+1std],7,3.9823008849557473,8,,4.97787610619469
bank__NumericFeature[f12;+2std],7,52.212389380530965,8,,36.946902654867266
bank__NumericFeature[f16;-2std],7,0.8849557522123797,8,,0.0
bank__NumericFeature[f16;-1std],7,0.8849557522123797,8,,0.0
bank__NumericFeature[f16;-0.5std],7,0.0,8,,0.0
bank__NumericFeature[f16;+0.5std],7,0.0,8,,0.0
bank__NumericFeature[f16;+1std],7,2.654867256637161,8,,0.0
bank__NumericFeature[f16;+2std],7,4.2035398230088505,7,,4.6460176991150455
baseball__NumericFeature[Games_played;-2std],13,1.4925373134328401,8,Strikeouts,0.0
baseball__NumericFeature[Games_played;-1std],13,0.7462686567164201,10,,-0.3731343283582156
baseball__NumericFeature[Games_played;-0.5std],13,0.7462686567164201,10,,-0.3731343283582156
baseball__NumericFeature[Games_played;+0.5std],13,0.0,10,,-0.7462686567164201
baseball__NumericFeature[Games_played;+1std],13,-0.746268656716409,4,At_bats,0.0
baseball__NumericFeature[Games_played;+2std],13,-0.746268656716409,4,At_bats,0.0
baseball__NumericFeature[At_bats;-2std],13,0.0,10,,-0.3731343283582045
baseball__NumericFeature[At_bats;-1std],13,0.0,10,,-0.3731343283582156
baseball__NumericFeature[At_bats;-0.5std],13,0.0,10,,-0.3731343283582156
baseball__NumericFeature[At_bats;+0.5std],13,0.0,10,,-0.3731343283582156
baseball__NumericFeature[At_bats;+1std],13,0.7462686567164201,4,At_bats,1.8656716417910446
baseball__NumericFeature[At_bats;+2std],13,2.9850746268656803,4,At_bats,7.0895522388059735
baseball__NumericFeature[Home_runs;-2std],13,0.0,10,,-0.3731343283582156
baseball__NumericFeature[Home_runs;-1std],13,-0.746268656716409,10,,-0.3731343283582156
baseball__NumericFeature[Home_runs;-0.5std],13,-0.746268656716409,10,,-0.3731343283582156
baseball__NumericFeature[Home_runs;+0.5std],13,0.0,10,,-0.3731343283582156
baseball__NumericFeature[Home_runs;+1std],13,0.0,10,,-0.3731343283582156
baseball__NumericFeature[Home_runs;+2std],13,0.0,10,,-0.3731343283582156
baseball__NumericFeature[Runs;-2std],13,0.7462686567164201,4,At_bats,0.0
baseball__NumericFeature[Runs;-1std],13,-0.746268656716409,4,At_bats,0.0
baseball__NumericFeature[Runs;-0.5std],13,-0.746268656716409,12,,0.0
baseball__NumericFeature[Runs;+0.5std],13,0.0,10,,-0.3731343283582156
baseball__NumericFeature[Runs;+1std],13,0.7462686567164201,10,,-0.3731343283582045
baseball__NumericFeature[Runs;+2std],13,2.23880597014926,10,,0.3731343283582156
baseball__NumericFeature[Strikeouts;-2std],13,0.0,10,,0.0
baseball__NumericFeature[Strikeouts;-1std],13,0.0,10,,0.0
baseball__NumericFeature[Strikeouts;-0.5std],13,0.0,10,,0.0
baseball__NumericFeature[Strikeouts;+0.5std],13,-0.746268656716409,4,At_bats,0.0
